Duration,D1-Age,D2-Gender,D3-Tribe,D4-Race,D5-Education,D6-Income,EFL,Q1,Q2,Q3,Q4,FQ1,FQ2,FQ3,ComQ1,ComQ2,ComQ3,Label_SubjectiveLit,Text_SubjectiveLit,ATQ_1,ATQ_2,ATQ_3,ATQ_4,ATQ_5,ATQ_6,ATQ_7,ATQ_8,TWB_1,TWB_2,TWB_3,TWB_4,TWB_5,TWB_6,TWB_7,TWB_8,TWB_9,TWB_10,RA1_1,RA1_2,RA1_3,RA1_4,RA1_5,RA1_6,RA1_7,RA1_8,RA1_9,RA1_10,STAI_1,STAI_2,STAI_3,STAI_4,STAI_5,STAI_6,STAI_7,BSCS_1,BSCS_2,BSCS_3,BSCS_4,REI_1,REI_2,REI_3,REI_4,REI_5,REI_6,REI_7,REI_8,REI_9,REI_10,FIPI_1,FIPI_2,FIPI_3,FIPI_4,FIPI_5,BMC1_1,BMC1_2,BMC1_3,BMC1_4,BMC1_5,Label_TrustPhys,Text_TrustPhys,Emo1_5,Emo1_6,Emo1_7,Emo1_8,Emo1_9,Emo1_10,Emo1_11,Emo1_12,Label_Anxiety,Text_Anxiety,HC_1,HC_2,HC_3,HC_4,HC_5,Rx2,Validity,MN1,MN2,MN3,MN4,MN5,MN6,MN7,MN8,GHNT1,GHNT2,GHNT3,GHNT4,GHNT5,GHNT6,Label_Numeracy,Text_Numeracy,Dmed_7,Dmed_8,Dmed_1,Dmed_2,Dmed_3,Dmed_9,Dmed_10,Dmed_5,Dmed_6,,,,
154,35,Female,Luhya,Black,Grad / professional degree,"Less than 2,580,000 KES",Yes,4,4,5,5,2,1,3,1,1,1,0.634920634,"NINA UWEZO WA HALI YA JUU WA KUPATA, KUCHAKATA NA KUELEWA TAARIFA ZA MSINGI ZA AFYA NA HUDUMA ZINAZOHITAJIKA KUFANYA MAAMUZI SAHIHI YA AFYA.",1,2,4,1,4,5,1,1,5,2,3,4,2,5,3,5,3,5,5,5,5,4,5,4,2,4,5,4,4,1,2,1,1,1,1,5,5,1,4,5,1,5,4,4,5,5,5,1,5,7,7,7,7,7,1,5,5,5,5,1,Namwamini kwa sana daktari wangu kwa kuwa yeye hunupa mawaidha kamilifu kuhusu hali yangu kiafya na kuzidisha hunitunza kwa kunipamatibabu ya hali ya juu.,7,7,4,6,7,7,6,7,0.952380952,Kinachonifanya nihisi hofu au wasiwasi ninapatembelea ofisi ya daktari huwa ile ya hali ya kutofahamu mambo kiafya yaweza kuwa mabaya zaidi au la.,5,5,5,5,5,5,5,2,1,4,4,3,2,1,1,1,20%,80,100,10%,200,0.363636364,Mama yangu mzazi alipovunjika mkona wa kulia nilikimbia na kumpa huduma ya ya kwanza kwa kuweka huo mkono kwenye barafu kupiunguza maumivu kwa mkono huo.,"5'7""",77,1,Yes,More than 10,11-12 hours,6,0 days,7,,,,
21,27,Male,Kamba,Black,Some college,"Less than 2,580,000 KES",No,3,1,3,4,3,2,3,2,2,2,0.507936507,Napata huduma za kiafya sana sana kwa hosipitali za kibinafsi kwa maana kupata huduma nafuu lwa hosipitali za serikali ni ngumu sana,1,1,1,1,1,3,1,1,5,4,5,4,4,4,5,4,4,4,3,1,5,4,4,3,2,2,4,1,4,2,2,3,3,2,1,4,3,3,4,3,3,2,3,4,3,3,4,4,4,7,6,6,5,5,4,5,3,3,4,0.68,Wakati mmoja nilikuwa na hisia tofauti nikamwendea daktari wangu na akanisaidia nikaangaza matibabu.,2,2,4,3,3,3,3,4,0.428571429,Iwapo mambo hayaendi vipasavyo ama kama nimejipata kwa mkasa ama makosa yasiyo ya kuhepuka wakati mwinginer,3,3,3,3,3,4,5,1,2,4,3,3,3,2,2,1,12%,100,11,70%,200,0.181818182,Yalikuwaa maswala muhimu kwa kukuwaa tulikuwaa tulikuwa tumeenda mawindoni na kwa bahati moja akaumimia ikabidi tumuhudhje,"4'3""",67,2,Yes,7,Less than 1 hour,3,1-2 days,8,,,,
57,34,Female,Kikuyu,Black,College graduate,"Less than 2,580,000 KES",No,1,3,3,4,3,3,3,1,1,1,0.706349206,Kupata taarifa ni rahisi mtu yeyote anaweza kupata. Kuchakata naweza na kuelewa . Wahudumu wa afya hutumia llugha rahisi,3,4,5,5,4,1,3,1,5,3,5,4,2,3,4,4,2,5,5,3,5,5,5,5,5,5,5,5,2,1,4,2,2,1,2,4,4,3,3,4,2,4,4,4,4,4,4,4,4,6,6,6,6,6,4,4,4,4,4,0.72,Kwa sababu anapenda pesa na anweza kukulazi ndio apate hapo simwamini . Namwamini akiwa kwenye hospitali ya uma sanasana,5,3,3,6,6,5,6,5,0.785714286,Nahisi wasiwasi kwa kuogopa daktari kukosea akinidunga ama kunipia dawa gushi. Hofu ni kwa sababu anaweza kutaka pesa na kunilaza bure,5,5,5,5,5,3,5,2,1,4,4,4,3,3,3,2,20%,13,5,10%,30,0.818181818,Nilisaidi katitika huduma ya kwanza kwenye hospitali wakati kulikua na ajali. Naweza kuweka bandaji kwenye kodonda na kuosha,"5'4""",70,2,Yes,5,3-4hours,4,0 days,1,,,,
51,32,Female,Kisii,Black,College graduate,"Less than 2,580,000 KES",Yes,4,4,3,4,2,3,2,1,1,1,0.642857143,Ni muhimu kujieleza unachoungua bila kuogopa kea sababu no vizuri daktari ajue ugonjwa wako ndo upate matibabu sahii,2,3,4,4,5,4,5,5,5,2,4,4,3,4,4,3,2,4,1,1,2,1,1,2,1,3,1,1,2,2,2,2,1,2,2,3,5,3,3,3,4,4,1,2,2,5,2,4,2,7,6,7,7,6,2,4,5,4,4,0.84,"Namwamini dagitari wangu kwa sababu kila wakati ninapomuelezea ugonjwa wangu ,napata suruhu. Matibabu yake hunipa nafuhuu",3,1,1,2,3,1,1,1,0.261904762,Kinachonitia wasiwasi ama hofu ni nipatikane na ugonjwa usio na tiba ama unaohitaji pesa mingi na kujukua muda kupona,5,5,5,5,5,3,5,4,3,3,4,3,2,1,1,1,20%,30,2.5,60%,15,0.09090909,"Naeza sema ujuzi wangu sio wa hali ya juu ,kwa sababu Mara nyingi madaktari ndio wanajua vipimo kamili za kumesha magonjwa mbalimbali","5'6""",69,2,No,More than 10,Less than 1 hour,5,0 days,0,,,,
52,27,Male,Luo,Black,College graduate,"Less than 2,580,000 KES",No,4,2,4,4,1,2,2,1,1,1,0.46031746,"Nina ugumu wa kupata msingi za afya na huduma zinazohitajika kufanya maamuzi sahihi za afya, hata hivyo nitaweza kutegemea muuguzi aweze kuniongoza kamili",1,2,2,1,2,4,2,2,5,3,5,4,4,4,3,5,4,5,3,1,1,1,5,3,4,3,3,1,2,1,2,1,1,1,2,4,5,5,4,5,5,1,1,5,5,5,3,3,3,5,6,6,6,6,1,4,4,4,4,0.84,Ninamwamini daktari wangu sana sababu mara nyingi amenipea mawaidha ambayo yamenisaidia katika kupona,2,2,2,2,2,2,2,2,0.285714286,Mara nyingi kudungwa shindani ndicho hunipea wasiwasi maana si kawaida kuugua ugonjwa wa kudungwa shindano,5,5,5,5,5,3,5,2,2,4,1,1,1,1,2,2,20%,50,10,30%,200,0.272727272,"Kuna wakati nilikuwa na maumivu tumboni, Nilipozuru hospitalini nilweza kuambiwa kinga dhabiti ya kuzuia tukio lile kufanyika tena","6'0""",56,2,Yes,3,Less than 1 hour,6,0 days,0,,,,
40,31,Female,Kikuyu,Black,Some college,"Less than 2,580,000 KES",No,4,5,5,5,3,1,3,2,2,2,0.619047619,"Mara kwa mara mimi huuliza Daktari chochote ambacho sielewi,ilimradi nijue kile ambacho ninacho ugua",1,1,1,1,1,2,1,1,5,5,5,5,4,4,4,4,4,5,1,1,1,2,1,3,5,4,5,1,1,2,2,1,1,1,2,5,5,5,5,5,1,5,5,4,5,5,5,5,5,4,6,7,7,6,2,4,4,4,4,0.8,"Naamini daktari wangu kwa sababu kila wakati,matiba yake huwa yanafanya kazi .Ni muhimu huamini daktari kwa sababu si sekta ambaya wako na umahiri",1,1,1,1,5,2,2,2,0.30952381,Jambo ambalo linaweza nitia hofu ni kungudulika kwa ugonjwa mbao sikuwa nimetarajia.Pia siwezi nikajua kama Daktari amehitimu au laa,5,5,5,5,5,4,5,2,1,4,1,4,2,1,3,1,2%,48,5,5%,20,0.454545454,"Mara kwa mara mimi huuliza Daktari chochote ambacho sielewi,ilimradi nijue kile ambacho ninacho ugua","5'7""",68,0,Yes,3,7-8 hours,6,0 days,1,,,,
51,30,Male,Kisii,Black,Some college,"Less than 2,580,000 KES",No,4,2,4,4,2,3,3,1,1,1,0.698412699,Nina uwezo wa kupata. Pia nina uwezo wakuelewa taarifa za kimsingi juu ya afya yangu. Katika kufanya maamzi yanayofaa ya kiafya pia nina uwezo.,2,2,1,2,3,3,1,2,4,2,4,2,2,4,4,5,4,4,1,1,1,1,3,4,4,5,5,1,3,2,2,2,3,3,2,5,5,3,5,4,2,4,3,3,3,5,5,5,5,6,4,6,5,6,2,4,4,4,4,0.8,Mimi humwamini daktari wangu kwa matibabu ya kawaida. Yeye hunishughulikia bila tatizo lolote. Huwa anaweka siri shinda zangu bila kuwaeleza watu.,4,2,4,2,3,2,2,3,0.380952381,Jambo ambalo hunifanya kuwa mwenye wasiwasi au hofu ninapomtembelea daktari haswa huwa ni yale majibu nitakayopata kutona na vipimo.,5,5,5,5,5,4,5,2,1,4,4,4,2,4,3,2,20%,1,10,7%,30,0.727272727,Kufuata maagizo ya daktari. uwezo wa kusoma na kuitisha dawa kwa duka la dawa. uwezo pia wa kubaini nanmna ya kujikinga na magnjwa mbali mbali.,"6'0""",85,1,Yes,3,5-6 hours,4,0 days,0,,,,
53,24,Male,Kisii,Black,High school graduate,"Less than 2,580,000 KES",No,4,4,4,4,3,1,3,1,1,1,0.666666667,Kwa kiwango cha juu napata uridhisho wa maswali ambayo nauliza muuguzi. Kuhusiana na hali yangu ya afraid.,3,2,3,2,2,5,2,2,5,4,5,4,4,4,4,5,4,5,1,1,1,1,1,2,1,3,1,1,2,3,2,2,2,2,3,3,4,5,4,3,2,4,3,3,3,4,4,4,3,7,6,6,5,5,2,4,4,4,4,0.8,Daktari wangu mimi humwamini kwa vile yeye hunipea ushauri mzuri kuhusu hali ya afya yangu. Na yeye hufuatilia maendeleo ya afya yangu na kuniajulia hali,5,5,2,5,4,4,4,4,0.619047619,Kwa kiwango cha juu napata uridhisho wa maswali ambayo nauliza muuguzi. Kuhusiana na hali yangu ya afya.,5,5,5,5,5,5,5,2,2,1,1,4,2,2,2,1,20%,80,10,30%,80,0.09090909,Nilikuwa nikiendea ushauri kwa daktari kuhusu afya njema na kuishi ukizingatia afya ya mwili na mazingira unaoyoishii,"5'7""",58,0,Yes,3,1-2 hours,4,0 days,0,,,,
36,22,Male,Kamba,Black,College graduate,"Less than 2,580,000 KES",Yes,3,4,3,4,3,1,3,1,1,1,0.619047619,kwa kiwango cha juu sana kwa sababu afya yangu ni muhimu nafaa kuelewa ninachoambiwa na daktari iliniweze kutilia mkazo na kufuata maagizo nilio elekezwa,1,3,4,4,2,3,1,4,5,5,4,3,3,4,4,5,3,5,3,1,1,1,3,5,3,5,5,1,1,1,2,3,1,1,3,5,5,5,5,5,5,5,1,5,5,5,5,5,5,7,7,7,7,7,2,5,5,5,5,0.96,namwamini daktari wangu kwa sababu yeye uniambia ukweli kuhusu afya yangu na anipa ushauri mwema katika maswala ya afya siku zote,5,4,2,6,6,6,6,6,0.833333333,kitu kinachonifanya ni hisi hofu na wasiwasi kwa sababu sina huhakika nini kinacho ni sumbua kimwili kwa sababu inaweza kuwa kitu kibaya au kizuri,5,5,5,5,5,5,5,2,2,3,4,2,2,3,2,2,8%,80,40,50%,200,0.363636364,ambapo kaka yangu alikua na homa kali nilienda kwa duka la dawa nikanunua dawa zilizomsaidia akapona kesho yake,"5'9""",49,0,No,2,1-2 hours,6,0 days,1,,,,
30,25,Female,Luo,Black,College graduate,"Less than 2,580,000 KES",Yes,2,4,4,4,3,2,3,1,1,1,0.698412699,"Nina kiwango cha juu,kupata,kuchakatana kuelewa taarifa za msingi za afya zinazohitajika kufanya maamuzi sahihi ya afya",1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,3,2,2,2,1,1,1,5,5,5,5,3,3,1,1,1,2,1,1,1,1,7,7,7,7,7,1,5,5,4,5,0.96,Ninamwamini daktari wangu wa matibabu ya kawaida kwa sababu anajali hali yangu na pia ako makini anapoandika dawa zinazizofaa hali yangu,1,1,1,1,1,1,1,1,0.142857143,Sababu zinazifanya nihisi hofu ama wasiwasi ninapotembelea ofisi ya daktari ni kuwa huenda daktari sio mwaminifu ama hajali hali yangu kabisa,5,5,5,5,5,5,5,3,3,4,4,3,2,1,1,1,5%,60,17,6%,100,0.181818182,Nilielewa na kuchakata maelezo ya daktari kuhusu afya yangu na pia kumwuuliza daktari wangu maelezo zaidi kuhusu afya yangu,"5'4""",69,2,Yes,3,1-2 hours,7 - Very healthy,0 days,1,,,,
